ad_id,campaign_id,ad_platform,ad_type,target_gender,target_age_group,target_interests
79,17,Instagram, Carousel ,Female,25-34,"TRAVEL, ART"
151,34,Facebook,Carousel,All,35-44,fashion
172,9,Facebook,Stories,Female,18-24,fitness
228,25,,  Video  ,unknown,18-24,"health, finance"
191,19,Facebook,Image,All,25-34,lifestyle
89,1,Facebook,Carousel,Female,25-34,finance
211,9,,,male,All,"food, travel"
117,42,Facebook,Stories,All,18-24,"finance, travel"
214,50,Facebook  ,,male,ALL,
63,3,Facebook,Video,Male,35-44,"sports, lifestyle"
35,18,Instagram,Image,Female,25-34,"travel, finance"
5,24,Instagram,Image,Female,25-34,news
39,34,Instagram,Stories,All,35-44,"lifestyle, gaming"
197,9,Facebook,Stories,All,All,"lifestyle, gaming"
32,29,Instagram,Stories,All,18-24,sports
218,49, instagram,STORIES ,All,18-24 ,
111,42,Facebook,Stories,Female,All,lifestyle
68,17, Facebook , Image, All ,18-24 ,Sports
94,14, Facebook,Video ,FEMALE,35-44,news 
161,15,Facebook,Image,Female,18-24,"art, finance"
131,17,Facebook,Image,Male,25-34,photography
168,39,Facebook,Image,Male,All,"travel, finance"
40,21,Facebook,Stories,All,All,"health, finance"
59,31,Instagram,Stories,Male,18-24,lifestyle
224,42,Instagram,,unknown,,fitness / sports
213,39, INSTAGRAM ,Video ,all,,"sports, health"
91,37,Facebook,Video,All,18-24,"travel, gaming"
194,41,Facebook,Image,All,18-24,"food, travel"
177,46,Instagram,Carousel,Female,35-44,travel
201,27,Instagram  ,, Male,,"food, travel"
19,3,Facebook,Video,Female,18-24,gaming
208,6, Instagram,,Male,25_34,
85,20, Facebook, Carousel , Female ,18-24 ,"finance, sports "
170,40,Instagram,Image,Male,35-44,sports
20,38,Instagram,Image,Male,35-44,"art, travel"
86,20,Facebook,Image,Female,All,"fashion, gaming"
45,38,Facebook,Carousel,Female,All,"sports, gaming"
34,26,Instagram,Stories,Female,35-44,"sports, technology"
174,27,Facebook,Carousel,Female,35-44,"travel, finance"
36,37,Facebook,Video,Male,18-24,"gaming, health"
12,45,Facebook,Stories,Female,35-44,gaming / technology
30,49,Facebook,Carousel,Female,25-34,sports
1,28,Facebook,Video,Female,35-44,"art, technology"
212,4, Facebook ,, Male, 25-34 ,gaming / sports
103,22,Facebook,Stories,Female,35-44,"health, fitness"
209,35,instagram ,,Male,25-34,"technology, travel"
52,2,Instagram,Stories,Female,35-44,"health, lifestyle"
96,24,Facebook , Stories ,male,35-44,NEWS
29,23,Instagram,Carousel,All,18-24,"lifestyle, news"
17,48,Instagram ,Image , All,35-44 ,"SPORTS, TRAVEL"
119,44,Instagram,Carousel,All,35-44,health
163,29,Facebook,Carousel,Female,25-34,photography
115,24,Facebook,Carousel,Female,All,"lifestyle, technology"
108,37,Facebook,Carousel,Male,18-24,photography
70,42,Facebook , Stories, Female , 18-24 ,"travel, technology "
48,42,Facebook,Carousel,All,All,"finance, lifestyle"
125,32,instagram, Carousel ,female,18-24,Photography
185,36,Instagram,Carousel,Female,All,"sports, food"
28,48,Facebook,Image,Female,25-34,"finance, travel"
74,17,Instagram,Image,Female,18-24,"finance, lifestyle"
41,38,Facebook,Carousel,All,25-34,photography
225,47, Facebook , VIDEO ,Male,18 - 24,
109,8,Facebook,Stories,All,35-44,travel / fashion
230,47,  Instagram ,,Male ,,health / sports
221,50,Instagram , Image ,,18-24 ,"art, news"
118,8,Facebook,Stories,All,All,"health, sports"
164,25,Instagram,Stories,Male,25-34,fashion
107,25,Instagram,Carousel,All,25-34,fashion
90,18,Instagram,Stories,Male,35-44,"fitness, gaming"
60,38,Facebook,Stories,All,35-44,health
169,17,Facebook,Video,Female,All,art
229,18,,stories,ALL,25-34 ,fitness / technology
133,30,Facebook ,VIDEO, Male, All,"technology, health"
223,23,facebook ,VIDEO,,,"gaming, news"
15,28,Facebook,Stories,All,All,fashion
186,9,Facebook,Carousel,All,All,fitness
22,30,Facebook,Stories,Male,35-44,finance
57,32, Instagram ,VIDEO,FEMALE,All, lifestyle 
200,44,Instagram,Carousel,Male,18-24,photography
